ensembl_transcript_id,sym,ensembl_peptide_id,Spearman_Correlation,P_Value,Score,Variance,Gene,Importance,Classifier_Importance,P_Value_Corrected,Final_Composite_Score
ENSCGRT00001022282,Crlf1,ENSCGRP00001018038,0.37163169706737365,0.30233747594245086,0.06065798013111639,0.001155721024365619,16342,0.0006120363411291408,0.0,0.021728524577933058,0.1138765742974006
ENSCGRT00001013293,Tgfa,ENSCGRP00001009116,0.34946001717100217,0.18044358222738838,0.11249012390806033,0.07120614536165441,8494,0.016783435898012206,0.0,0.031106246995098057,0.11382283241511472
ENSCGRT00001031816,Patj,ENSCGRP00001027569,0.3721739392387523,0.30586920130428874,0.059634920791758,0.05198932579949299,24910,4.4145103746963083e-07,0.0,0.021517509976860156,0.11380408727717481
ENSCGRT00001017904,ENSCGRG00001014736,ENSCGRP00001013667,0.3716919461975268,0.30272857073151377,0.06054376877858286,0.023171041466053692,12441,0.0002948853751434833,0.0,0.021705036299184778,0.11378129737047675
ENSCGRT00001028560,Rttn,ENSCGRP00001024314,0.37175219532768,0.30311999529456196,0.060429692128059674,0.003101628816595837,21981,3.4205343120454506e-06,0.0,0.02168155857820005,0.11369501164313323
ENSCGRT00001003467,Calu,ENSCGRP00001002572,0.37160157250229703,0.30214205221136353,0.06071513634460511,0.0068840478315975165,2383,1.56895697923542e-05,0.0,0.021740272677107805,0.11365999036782722
ENSCGRT00001026796,Brinp2,ENSCGRP00001022550,0.3715563856546822,0.3018490711918876,0.06080093386333496,0.016561933028584334,20374,4.365958952989787e-06,0.0,0.02175789977633987,0.11364423375967218
ENSCGRT00001026205,Klhl23,ENSCGRP00001021961,0.37050202587700143,0.29506549844222724,0.0628244822425359,0.03278513589993346,19849,0.0005819852859554527,0.0,0.0221708872605514,0.11357139133923998
ENSCGRT00001020828,Gcat,ENSCGRP00001016584,0.3694024792517059,0.28809871104398893,0.06497919817381005,0.055026807761288314,15042,0.0009350441006968968,0.0,0.022605031700019325,0.11340851238075761
ENSCGRT00001018764,C87436,ENSCGRP00001014527,0.3701706556611589,0.2929543673286144,0.06346905105016214,0.027465308819734552,13196,6.589891140829996e-07,0.0,0.022301353143945133,0.11328156265893212
ENSCGRT00001023818,Phactr1,ENSCGRP00001019574,0.3598529921224263,0.2321794327966447,0.08567177103561571,0.0059054139575706955,17738,0.0075703442789626174,0.0,0.02652586695671995,0.11325810483003677
ENSCGRT00001000216,Uckl1,ENSCGRP00001000192,0.29793194860749206,0.03884891143970747,0.3264996060340743,0.03169824390447391,184,0.0001171805198140509,0.07154574191173933,0.05900977074723187,0.11320801031684055
ENSCGRT00001023200,Otogl,ENSCGRP00001018956,0.36934223012155265,0.2877201394008142,0.06509858520681092,0.023183424310343394,17175,8.678973458357418e-05,0.0,0.022628922690211245,0.11309593771259117
ENSCGRT00001028106,Trim36,ENSCGRP00001023860,0.369206669578708,0.2868695569066209,0.06536770964040044,0.008357235341636357,21564,5.1737841217564075e-05,0.0,0.02268271631496385,0.11304838074953494
ENSCGRT00001031438,B3glct,ENSCGRP00001027191,0.36901085990571014,0.2856438796868692,0.06575767747810919,0.0015415462287834704,24561,3.1360267874451197e-07,0.0,0.022760513338168982,0.1129794190664675
ENSCGRT00001023774,Ica1l,ENSCGRP00001019530,0.36872467653748253,0.2838587579062416,0.06633025573756385,0.016924934615259724,17702,0.0001140438197555123,0.0,0.022874419027584338,0.11294476020091762
ENSCGRT00001019333,Ncbp1,ENSCGRP00001015094,0.36863430284225274,0.28329657744711584,0.06651171875665549,0.024715449924931132,13709,1.584571313624322e-05,0.0,0.022910439197042134,0.11288688077197771
ENSCGRT00001007322,Snapc2,ENSCGRP00001004836,0.3685288668644847,0.2826416356491582,0.0667238198254483,0.003026690599871231,4597,5.707353234734594e-07,0.0,0.02295249304767587,0.11285410912147621
ENSCGRT00001024432,AB124611,ENSCGRP00001020188,0.3681824343661039,0.28049677483696206,0.06742371745038483,0.0110890372360275,18295,4.279142077266918e-07,0.0,0.02309090001391082,0.11276397008119494
ENSCGRT00001011700,Tob2,ENSCGRP00001007641,0.36794143784549116,0.27901110810806323,0.06791331628470636,0.10670971692616994,7250,2.0939677844836424e-05,0.0,0.023187391299791957,0.11270849937087224
ENSCGRT00001019734,ENSCGRG00001016087,ENSCGRP00001015491,0.3674443825217274,0.2759635223904223,0.06893016917052364,0.03705131187012672,14064,0.00025118488907574916,0.0,0.023386944662189893,0.11265992393391372
ENSCGRT00001001753,Vdac2,ENSCGRP00001001577,0.36776069045503157,0.2779003084117836,0.06828198001368023,0.003941629531798109,1408,4.24983288284426e-09,0.0,0.02325987195203589,0.11265419581915456
ENSCGRT00001019438,Ccne1,ENSCGRP00001015199,0.30008585501046836,0.04184634707324779,0.3144081189409825,0.010222724427903146,13808,0.00012185149980491163,0.06721643669247972,0.05765933602962452,0.1126384473041546
ENSCGRT00001007578,Setd5,ENSCGRP00001004981,0.3675799430645721,0.2767924651816289,0.06865190145296157,0.012722892509319293,4730,4.34310087499697e-05,0.0,0.023332448826791755,0.1126224286551133
ENSCGRT00001025430,Spart,ENSCGRP00001021186,0.36756488078203375,0.2767002783355863,0.06868278507716052,0.03598606816533769,19173,6.127906380488572e-07,0.0,0.023338501244800938,0.11260352883581352
ENSCGRT00001026284,Kalrn,ENSCGRP00001022039,0.36720338600111463,0.27449395000482574,0.06942661983935994,0.001506850508762253,19919,0.0001684468179159691,0.0,0.023483959939260737,0.11256836818053104
ENSCGRT00001030804,Dhrs7l,ENSCGRP00001026558,0.35872332093205406,0.22610268206709053,0.08836294518017293,0.002167904102011545,23986,0.006402229307014226,0.0,0.027007743574792516,0.11255855089455045
ENSCGRT00001018477,Il17a,ENSCGRP00001014240,0.26273139431549464,0.010052593618261612,0.5718279840508332,0.05654217393080205,12944,5.181308233080567e-06,0.10142778439573723,0.0835721366861191,0.11253539152007619
ENSCGRT00001006727,Cacna2d1,ENSCGRP00001004480,0.3667063306773509,0.27147953711011574,0.0704576529088621,0.09143622344662865,4262,0.00033607691250119904,0.0,0.02368459530307513,0.1124979856528882
ENSCGRT00001006424,Celsr1,ENSCGRP00001004304,0.3669623894805019,0.27302962834714944,0.06992531798021473,0.055041548987964976,4076,7.80993105249867e-06,0.0,0.023581146582125387,0.11244956497823148
ENSCGRT00001027362,Gnb4,ENSCGRP00001023117,0.3666762061122743,0.27129756281790995,0.07052044800162068,0.03210817785074565,20889,2.9793521242845354e-07,0.0,0.023696778476444504,0.11237264395865108
