ensembl_transcript_id,sym,ensembl_peptide_id,Gene,Importance
ENSCGRT00001027300,Eif4g3,ENSCGRP00001023055,20831,0.0003327245582890217
ENSCGRT00001019301,Hrh1,ENSCGRP00001015062,13681,0.00033156814641076564
ENSCGRT00001012713,Basp1,ENSCGRP00001008584,8039,0.0003314347273285786
ENSCGRT00001030657,Gsr,ENSCGRP00001026411,23855,0.0003291134319510839
ENSCGRT00001021291,Rbm10,ENSCGRP00001017047,15454,0.0003289837116696641
ENSCGRT00001004323,Ttyh1,ENSCGRP00001003073,2892,0.00032866025511818123
ENSCGRT00001002220,Vgll1,ENSCGRP00001001847,1683,0.0003266190936888981
ENSCGRT00001028861,Rnf4,ENSCGRP00001024615,22252,0.00032633872367823416
ENSCGRT00001021660,Vps16,ENSCGRP00001017416,15787,0.00032614826033199306
ENSCGRT00001012517,Rhod,ENSCGRP00001008389,7879,0.0003255369645325375
ENSCGRT00001011428,Trp63,ENSCGRP00001007395,7046,0.00032504191631426484
ENSCGRT00001000723,Cyld,ENSCGRP00001000699,645,0.00032216556003114073
ENSCGRT00001014112,Mitf,ENSCGRP00001009893,9155,0.0003182035194439505
ENSCGRT00001025982,Slco5a1,ENSCGRP00001021738,19650,0.0003160797364087548
ENSCGRT00001015376,Sorbs2,ENSCGRP00001011147,10217,0.00031487270317264387
ENSCGRT00001028797,ENSCGRG00001022425,ENSCGRP00001024551,22191,0.0003130885799139391
ENSCGRT00001027680,ENSCGRG00001021658,ENSCGRP00001023434,21182,0.00031263796522894446
ENSCGRT00001020195,ENSCGRG00001016427,ENSCGRP00001015951,14471,0.0003121319981331975
ENSCGRT00001006117,Or2k2,ENSCGRP00001004122,3901,0.00030848867777299945
ENSCGRT00001017272,ENSCGRG00001014282,ENSCGRP00001013035,11887,0.00030826552456820827
ENSCGRT00001008859,Nfatc1,ENSCGRP00001005727,5449,0.0003063346579020796
ENSCGRT00001020153,Pkn2,ENSCGRP00001015910,14434,0.00030447922942939255
ENSCGRT00001020087,Pak4,ENSCGRP00001015844,14376,0.0003040673487094421
ENSCGRT00001004691,Plxnb1,ENSCGRP00001003279,3093,0.00030257035344875957
ENSCGRT00001000371,Lyg2,ENSCGRP00001000347,320,0.00029817229830070063
